,EventTime,Origin,Destination
521,1981.7129300000001,SoutheastBrazil,SouthBrazil
522,2005.03835,SoutheastBrazil,SouthBrazil
523,2017.03835,SoutheastBrazil,NortheastBrazil
524,2016.03824,SoutheastBrazil,MidwestBrazil
525,2017.03835,SoutheastBrazil,MidwestBrazil
526,1982.3827800000001,SoutheastBrazil,MidwestBrazil
527,2015.03834,MidwestBrazil,SoutheastBrazil
528,2013.03835,SoutheastBrazil,Western Europe
529,2016.03825,SoutheastBrazil,NortheastBrazil
530,2017.03835,SoutheastBrazil,NortheastBrazil
531,1989.7452700000001,SoutheastBrazil,NortheastBrazil
532,2015.03835,SoutheastBrazil,Bahia
533,2004.03824,SoutheastBrazil,Western Europe
534,2016.03823,SoutheastBrazil,SouthBrazil
535,2012.0382200000001,SoutheastBrazil,Bahia
536,2009.74973,SoutheastBrazil,SouthBrazil
537,2014.03834,SoutheastBrazil,Bahia
538,2016.03824,SoutheastBrazil,Bahia
539,2016.03824,SoutheastBrazil,Bahia
540,2008.03824,SoutheastBrazil,NorthBrazil
541,2007.03834,SoutheastBrazil,Bahia
542,1983.6873300000002,SoutheastBrazil,NortheastBrazil
543,1990.9150000000002,NortheastBrazil,SoutheastBrazil
544,2016.03825,SoutheastBrazil,NorthBrazil
545,2016.03825,SoutheastBrazil,Bahia
546,2017.03836,SoutheastBrazil,MidwestBrazil
547,2005.03834,SoutheastBrazil,SouthAmerica
548,1984.94757,SoutheastBrazil,SouthAmerica
549,2017.03835,SoutheastBrazil,NortheastBrazil
550,2009.03835,SoutheastBrazil,NorthAmerica
551,2003.03835,SoutheastBrazil,MidwestBrazil
552,1991.29904,SoutheastBrazil,Bahia
553,2017.03835,SoutheastBrazil,SouthBrazil
554,2015.03834,SoutheastBrazil,Asia
555,1988.03321,SoutheastBrazil,MidwestBrazil
556,2016.03824,SoutheastBrazil,NortheastBrazil
557,2011.03835,SoutheastBrazil,MidwestBrazil
558,2016.03824,SoutheastBrazil,NortheastBrazil
559,1992.67611,SoutheastBrazil,MidwestBrazil
560,2017.03835,MidwestBrazil,SoutheastBrazil
561,2014.03834,MidwestBrazil,SoutheastBrazil
562,2009.03833,SoutheastBrazil,SouthAmerica
563,2016.03824,SoutheastBrazil,SouthBrazil
564,2015.03835,SoutheastBrazil,SouthBrazil
565,2017.03835,SoutheastBrazil,NortheastBrazil
566,2016.03824,SoutheastBrazil,SouthBrazil
567,2009.03835,SoutheastBrazil,MidwestBrazil
568,2015.03835,SoutheastBrazil,Bahia
569,2015.03835,SoutheastBrazil,NortheastBrazil
570,1979.84977,SoutheastBrazil,NortheastBrazil
571,2017.03836,SoutheastBrazil,MidwestBrazil
572,2012.6054100000001,SoutheastBrazil,Western Europe
573,1979.5850300000002,SoutheastBrazil,NorthBrazil
574,2015.03835,NorthBrazil,NortheastBrazil
575,2017.03835,NorthBrazil,NortheastBrazil
576,2016.03824,NorthBrazil,MidwestBrazil
577,2017.03835,NorthBrazil,SouthBrazil
578,2005.8840300000002,NorthBrazil,SouthBrazil
579,2012.03825,NorthBrazil,SouthAmerica
580,1997.94919,NorthBrazil,SouthAmerica
581,2014.03836,SouthAmerica,NorthBrazil
